time,decodedframes,lossframe,losspacket
1706446855018500,45,25,8
1706445856444700,46,25,7
1706444849037800,41,26,9
1706443855607100,45,25,7
1706442852281400,44,26,5
1706441851259400,45,25,8
1706440857349400,45,25,6
1706439854792600,45,25,5
1706438849072400,46,26,5
1706437856217800,44,25,7
1706436850714800,44,26,7
1706435859340000,45,25,9
1706434850079700,45,25,7
1706433855063800,45,25,6
1706432859562700,46,25,7
1706431848202700,44,25,8
1706430850640500,45,25,7
1706429853806800,45,27,6
1706428858632200,45,25,9
1706427852376400,45,26,8
1706426855116100,45,25,7
1706425855352000,45,25,6
1706424857567800,45,24,5
1706423849501200,45,27,6
1706422854075000,45,25,6
1706421854958800,44,26,8
1706420858599400,46,25,7
1706419848605200,44,25,8
1706418854617300,46,25,8
1706417848958600,43,26,7
1706416855343500,46,25,8
1706415854092600,46,27,8
1706414850251800,43,25,5
1706413854066800,45,26,8
1706412856117500,46,25,6
1706411848779800,45,26,6
1706410852884300,44,25,6
1706409851011600,45,27,6
1706408861886800,45,24,6
1706407848083400,44,27,8
1706406849603200,46,25,7
1706405847790700,44,26,6
1706404854817800,45,23,9
1706403852558200,46,28,7
1706402851554700,44,25,6
1706401855266500,45,25,7
1706400859571200,46,25,7
1706399852371000,44,25,7
1706398858885800,45,25,8
1706397857722800,45,25,7
1706396856242500,45,24,7
1706395851136800,45,27,7
1706394858262800,45,25,9
1706393849335200,45,25,6
1706392852194300,45,28,7
1706391856301800,44,25,7
1706390858065200,45,25,8
1706389849239700,45,26,7
1706388855167900,46,25,6
1706387851177100,44,25,7
1706386851470300,45,25,7
1706385853333100,43,26,7
1706384851691200,45,25,6
1706383853945900,45,25,5
1706382860807000,45,25,8
1706381860399100,45,25,6
1706380854482500,45,26,8
1706379855767100,45,25,6
1706378859787700,45,25,7
1706377854306200,45,25,8
1706376848601300,45,25,7
1706375849846800,45,25,7
1706374851541900,44,25,6
1706373854044900,46,25,6
1706372860982800,45,25,8
1706371849768000,44,23,7
1706370852033300,45,27,7
1706369854290600,46,24,9
1706368847860300,45,27,8
1706367848986200,44,25,5
1706366860702200,45,25,6
1706365849228300,45,26,5
1706364851617800,45,25,5
1706363856826200,44,25,7
1706362854686900,46,25,8
1706361856032700,45,26,7
1706360852248500,44,25,6
1706359853167100,44,24,9
1706358857627300,47,26,7
1706357851547200,45,25,7
1706356855437900,43,28,7
1706355852016600,44,27,6
1706354851442600,45,25,6
1706353854938600,45,26,7
1706352858855300,45,25,8
1706351852753600,46,25,6
1706350853646200,44,25,6
1706349870206300,45,25,7
1706348850600100,44,25,6
1706347847572800,45,25,6
1706346865643300,46,25,6
1706345854918400,44,25,7
1706344851816700,46,25,7
1706343850353800,44,25,7
1706342856425200,45,25,4
1706341852303800,46,25,8
1706340853807000,44,26,5
1706339847032500,45,25,8
1706338850845500,43,25,7
1706337856789100,42,25,3
1706336849466500,45,25,2
1706335851306000,43,25,4
1706334857285100,48,25,6
1706333848928000,41,25,8
1706332850090400,46,25,7
1706331851683000,45,25,9
1706330847505300,45,26,8
1706329850465400,43,27,8
1706328857827100,44,25,8
1706327855949100,45,24,7
1706326850579300,46,25,8
1706325849032400,44,27,7
1706324873854000,45,25,6
1706323855937300,45,25,5
1706322852613500,46,24,3
1706321855112100,44,27,5
1706320857000600,45,26,7
1706319851091600,44,25,8
1706318850857300,45,25,8
1706317848479900,46,25,8
1706316849298300,45,25,7
1706315849780400,44,25,8
1706314855871200,46,25,7
1706313849237800,44,25,8
1706312853233100,45,25,8
1706311848652500,44,25,9
1706310853573300,45,25,9
1706309860142200,46,25,8
1706308850261500,45,26,4
1706307848428300,45,25,6
1706306850761600,44,26,7
1706305854091400,46,24,9
1706304858903500,45,27,7
1706303848806800,45,25,7
1706302852461500,44,25,4
1706301857103000,45,25,8
1706300850564900,46,26,7
1706299852945100,43,25,7
1706298849236200,46,26,9
1706297854710000,46,25,8
1706296850906700,43,25,8
1706295854237000,45,25,4
1706294848100300,47,26,5
1706293850732300,43,25,7
1706292854660500,46,25,8
1706291834575900,44,26,8
1706290837736900,45,25,7
1706289832161100,46,24,6
1706288834598600,44,27,6
1706287839749200,46,25,8
1706286835483000,45,26,9
1706285837243700,44,24,5
1706284833538700,44,27,6
1706283833564400,46,23,6
1706282836481000,45,28,5
1706281840656400,45,25,6
1706280835691700,45,25,7
1706279832567100,45,25,7
1706278838645300,45,25,6
1706277840635500,44,25,5
1706276836771200,45,26,7
1706275842350700,45,25,6
1706274840738900,45,23,7
1706273832872900,45,27,7
1706272837189400,44,25,9
1706271841525000,29,27,5
1706271059909100,54,25,8
1706269836571800,45,25,6
1706268832725700,41,26,6
1706267901974800,48,25,9
1706266833879600,42,26,7
1706265834663700,44,26,7
1706264839209000,44,25,7
1706263841375800,44,25,8
1706262894294200,46,26,7
1706261840981000,43,25,8
1706260844507300,47,25,6
1706259759831700,42,25,6
1706258754136800,42,24,7
1706257785487200,45,27,7
1706256743741200,47,26,8
1706255679070800,43,25,9
1706254688547700,44,24,8
1706253737834100,46,27,7
1706252684145400,44,25,8
1706251694791600,46,25,9
1706250681431500,44,25,6
1706249678777700,44,25,7
1706248699129100,40,25,8
1706247681097500,43,25,9
1706246699815300,45,26,6
1706245681520500,44,25,9
1706244680589500,37,25,8
1706243678744000,44,25,9
1706242683086400,43,25,7
1706241700963900,43,25,7
1706240713393900,42,25,8
1706239732697200,46,25,9
1706238681762400,43,24,8
1706237683714400,42,28,9
1706236678209500,44,25,7
1706235675731500,45,25,6
1706234675236200,44,25,4
1706233684326300,46,27,7
1706232690416200,42,28,5
1706231684707400,45,25,4
1706230679005700,43,26,4
1706229700373100,47,25,6
1706228686912700,41,25,6
1706227685994000,45,25,6
1706226680878200,45,26,1
1706225676716400,43,25,3
1706224677181100,47,25,2
1706223676039500,45,25,2
1706222675846300,44,25,4
1706221678060100,44,26,3
1706220697633200,45,25,3
1706219683154900,42,26,3
1706218728641400,47,26,4
1706217685768400,45,25,3
1706216695500000,46,25,2
1706215695978200,44,25,3
1706214697501300,44,25,4
1706213683406400,44,25,4
1706212720872100,45,24,3
1706211681394400,47,25,3
1706210711252000,42,25,4
1706209696991000,42,27,3
1706208731257200,43,25,1
1706207772127200,31,39,13
1706206945034200,15,41,23
1706205931107600,21,27,1
1706204804174700,27,35,14
1706203761408900,21,25,0
1706202876603500,39,26,1
1706201699502800,34,25,0
1706200818780200,28,25,1
1706199602000600,19,47,13
1706198687456100,23,29,8
1706197697990400,24,23,2
1706196742666400,36,0,0
1706195623469800,37,2,3
1706194602045400,42,0,2
1706193635480000,29,2,2
1706192729544000,27,2,3
1706191723074500,28,0,0
1706190674125200,27,33,5
1706189733200000,29,0,1
1706188588777200,31,0,2
1706187651932300,40,7,9
1706186647468700,27,34,31
1706185730793800,16,49,49
1706184596221000,10,18,30
1706183831293000,13,42,45
1706182932084500,13,0,2
1706181685589400,15,47,16
1706180804152400,22,13,16
1706179756493400,41,6,2
1706178693029000,62,0,0
1706177587845000,54,0,1
1706176577333400,40,0,0
1706175558967400,54,0,0
1706174553164900,52,0,2
1706173564496200,45,0,2
1706172598985500,42,0,1
1706171559081800,58,0,0
1706170551461800,45,25,0
1706169554700800,43,24,0
1706168653789600,14,29,2
1706167667604700,26,26,3
1706166653771100,20,37,16
1706165698498500,39,23,0
1706164602463100,34,32,10
1706163576063200,13,45,23
1706162720091700,11,45,28
1706161643530400,28,29,2
1706160737323600,27,31,4
1706159631153300,16,29,2
1706158730680700,20,32,9
1706157748698500,23,26,1
1706156802273900,12,35,10
1706155890409500,19,81,79
1706155302205500,48,29,1
1706153578869400,47,25,5
1706152564887000,34,33,11
1706151735062700,41,35,12
1706150678729300,12,40,22
1706149887200700,36,25,4
1706148597476000,13,50,35
1706147817181700,28,27,6
1706146609534200,10,36,14
1706146367670800,25,33,14
1706144697213800,28,25,2
1706143552408200,30,25,3
1706142618861300,36,24,1
1706141562259800,41,28,2
1706140568539800,37,25,2
1706139560700000,36,27,0
1706138568345200,23,31,9
1706137675039300,25,29,6
1706136680222600,21,26,1
1706135621428300,46,25,1
1706134552212300,42,33,11
1706133644543300,44,26,0
1706132559568500,33,27,4
1706131752821500,50,28,5
1706130634361100,19,43,23
1706129703750200,17,31,5
1706128797540100,31,28,1
1706127735320600,16,28,4
1706126670008500,23,29,6
1706125655997700,19,27,3
1706124753638500,21,26,4
1706123592882200,22,32,11
1706122675203400,14,45,4
1706121751670200,12,33,12
1706120787019300,24,29,3
1706119718012200,23,26,1
1706118572385900,28,23,2
1706117556937200,36,2,0
1706116676139800,30,21,17
1706115586009900,19,0,1
1706114609220000,20,3,3
1706113687775800,44,4,3
1706112592220700,24,2,2
1706111611347500,38,0,1
1706110542028700,40,5,6
1706109752566200,27,0,1
1706108556756500,24,3,1
1706107702629700,19,0,0
1706106640895600,36,0,0
1706105708376500,33,2,2
1706104725920100,16,2,2
1706103721655200,18,25,18
1706102824740600,8,2,3
1706101734091400,16,31,23
1706100761399100,10,26,31
1706099926179100,19,77,69
1706098836503100,9,8,11
1706097811197200,3,83,72
1706097352300200,12,73,70
1706095848291900,7,15,19
1706094736977500,25,0,2
1706093527227600,10,16,22
1706092707242200,25,0,9
1706091577319500,59,0,5
1706090525721500,56,0,4
1706089536542300,57,0,1
1706088545595700,56,0,4
1706087533578700,43,0,3
1706086524697500,52,0,5
1706085556174800,61,0,6
1706084522446600,52,2,5
1706083520678400,57,0,3
1706082524521300,57,0,2
1706081520926000,60,0,3
1706080524001800,59,0,5
1706079531423100,50,0,5
1706078522940600,51,0,7
1706077526940900,59,0,7
1706076520176300,48,2,5
1706075520774200,53,0,5
1706074530715000,36,0,2
1706073532699800,44,0,5
1706072525472800,54,0,4
1706071520203200,59,0,5
1706070528907700,52,0,4
1706069553550400,45,2,4
1706068554728800,38,0,5
1706067526503000,48,0,5
1706066531943900,55,0,5
1706065525751900,52,0,4
1706064520674200,54,0,5
1706063525472700,59,2,4
1706062527570200,47,0,3
1706061520598300,58,0,4
1706060524971400,60,0,3
1706059531350500,55,0,3
1706058523991400,56,0,6
1706057549768400,53,0,4
1706056554457800,52,0,4
1706055538251900,51,0,5
1706054531689000,49,0,5
1706053524231200,59,0,5
1706052522917300,49,2,5
1706051524407000,52,0,6
1706050523756500,48,0,5
1706049537381500,58,0,6
1706048538133400,56,0,5
1706047525417500,57,0,5
1706046526111900,52,0,5
1706045557446500,53,0,2
1706044528482700,51,0,3
1706043506461900,54,0,4
1706042517966000,54,0,4
1706041512300800,56,0,2
1706040530369000,53,0,4
1706039515168000,60,0,4
1706038517526500,52,0,5
1706037523500000,50,0,6
1706036505379000,57,0,6
1706035505840100,59,2,4
1706034518421900,61,0,5
1706033517530300,56,2,4
1706032531752400,48,0,5
1706031517510800,50,0,4
1706030508536900,53,0,5
1706029512888700,51,0,4
1706028515893800,60,0,4
1706027508856300,53,0,4
1706026504785300,55,0,4
1706025520814500,56,2,4
1706024514865500,47,0,4
1706023507420500,58,0,5
1706022520505400,47,2,3
1706021518257800,57,0,3
1706020510396900,54,0,6
1706019514751800,51,2,5
1706018520918900,50,0,3
1706017509918100,55,0,4
1706016501980000,58,0,4
1706015501420400,60,0,5
1706014501538000,45,0,2
1706013497369800,54,0,2
1706012500219300,54,0,3
1706011503312100,58,0,4
1706010493177500,60,0,6
1706009490285100,54,4,6
1706008546669700,42,0,6
1706007497210700,60,0,6
1706006499503700,60,0,6
1706005492671400,58,0,6
1706004502310200,59,0,4
1706003489097700,52,4,6
1706002517903400,58,0,2
1706001493743200,58,0,2
1706000498928500,56,2,3
1705999490455300,51,0,3
1705998493885600,56,0,3
1705997490728600,52,0,5
1705996505868200,54,2,5
1705995504193900,50,0,4
1705994510649000,61,0,5
1705993497147000,45,0,5
1705992489370900,47,0,4
1705991489383200,52,0,5
1705990516659900,61,0,4
1705989498595000,60,0,5
1705988503909700,54,0,4
1705987497491100,49,0,5
1705986497661500,45,2,8
1705985503823900,45,2,4
1705984495060500,53,0,3
1705983488534800,54,0,3
1705982494098700,52,2,5
1705981490424000,47,0,6
1705980498854500,48,0,3
1705979489330400,46,0,3
1705978529238000,42,0,5
1705977501002300,39,6,7
1705976580846000,53,0,3
1705975500344600,56,0,3
1705974502089800,44,2,5
1705973513531400,43,2,6
1705972547557000,48,0,5
1705971517991400,58,0,4
1705970496209600,58,0,4
1705969498399500,55,0,5
1705968500127200,58,0,4
1705967499735600,55,0,4
1705966488745600,43,0,4
1705965508265500,41,2,5
1705964506971600,31,4,9
1705963539580700,32,0,6
1705962512710500,41,0,6
1705961493355800,50,2,4
1705960490682100,45,0,6
1705959516886900,36,2,4
1705958491241500,46,0,4
1705957507861300,51,0,6
1705956500488100,57,2,4
1705955500664600,51,0,4
1705954495217100,51,0,4
1705953494626900,51,0,6
1705952507321400,48,0,5
1705951499368500,57,0,4
1705950498230700,59,0,1
1705949498653700,61,2,1
1705948513066800,48,0,0
1705947500380600,18,10,4
1705946598989400,29,0,3
1705945544507100,31,7,8
1705944509026400,32,0,1
1705943572248000,21,13,13
1705942794495300,28,6,8
1705941561333700,32,10,9
1705940614693900,20,11,13
1705939595870500,26,0,6
1705938554952700,52,0,3
1705937531167800,60,0,3
1705936502348500,54,0,4
1705935493839400,61,0,4
1705934493468200,60,0,4
1705933493032900,60,0,5
1705932495043300,58,0,6
1705931489672800,47,0,3
1705930500521400,44,0,5
1705929495165700,57,0,3
1705928502204200,54,0,3
1705927524914300,50,0,5
1705926498043400,45,0,5
1705925489039900,53,0,3
1705924490221400,58,0,4
1705923501813800,53,0,4
1705922505005400,47,0,5
1705921491411100,57,0,2
1705920498389100,57,0,5
1705919492915800,38,0,3
1705918749474200,21,0,5
1705917544242700,30,4,5
1705916596580300,36,0,5
1705915566791200,33,0,1
1705914528329700,38,2,3
1705913597411700,18,0,6
1705912512594500,26,2,3
1705911685611600,23,4,7
1705910575400800,27,4,6
1705909518969900,41,0,4
1705908495223500,52,0,1
1705907506101000,42,4,3
1705906494867900,42,0,2
1705905499998400,45,2,3
1705904547194900,21,4,8
1705903604872900,29,29,26
1705902526120800,13,0,5
1705901573706500,22,18,27
1705900544550300,17,37,41
1705899522919500,11,18,40
1705898770436200,26,2,20
1705897548581400,19,4,32
1705896583779700,24,5,16
1705895584601300,14,14,24
1705894609366700,20,2,8
1705893595337400,17,4,12
1705892522666700,33,2,9
1705891511137700,53,0,1
1705890522045600,55,0,0
1705889517079000,57,0,1
1705888509584900,56,0,0
1705887506020800,60,0,0
1705886504119100,60,0,0
1705885492846300,60,0,1
1705884501280700,60,0,2
1705883495096200,59,2,1
1705882505635100,61,0,0
1705881497641600,59,0,1
1705880490774200,61,0,1
1705879499265000,60,0,1
1705878492754500,60,2,0
1705877493254500,59,0,0
1705876492896500,45,23,0
1705875509783500,46,28,0
1705874498367000,38,27,2
1705873674496000,45,25,2
1705872493178500,37,26,2
1705871532139200,33,50,0
1705870500264600,16,52,4
1705869767910800,36,50,1
1705868568027900,29,52,1
1705867502075800,25,54,6
1705866570864900,22,55,12
1705865723081800,13,60,18
1705864939560400,25,52,4
1705863546456700,19,52,6
1705862605358700,19,45,3
1705861522534500,15,27,0
1705860548486200,20,58,45
1705859602479300,12,45,34
1705858786147400,14,27,7
1705857673461300,20,32,10
1705856625638100,25,28,4
1705855576151300,27,25,1
1705854498045800,36,25,2
1705853514064400,27,53,32
1705852687627800,33,30,9
1705851641645900,33,31,7
1705850564063400,40,28,2
1705849493760800,46,24,3
1705848511112500,34,27,7
1705847558067400,42,23,2
1705846493720500,40,26,4
1705845506399400,43,25,4
1705844535757800,44,27,4
1705843497890900,44,25,6
1705842480238400,44,25,5
1705841481212900,46,25,4
1705840479930600,45,25,1
1705839478562100,28,25,3
1705838559869200,20,29,10
1705837478782900,32,27,5
1705836584130000,21,24,6
